apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
0.space,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,23,0.2.0-draft,2026-08-04
0523.tw,1,80,Connectable,,fail,fail,pass,pass,pass,fail,skip,pass,fail,,modern,23,0.2.0-draft,2026-08-04
0latency.ai,1,45,Discoverable,,pass,fail,fail,fail,fail,skip,skip,pass,fail,mcp-server-card-json,,34,0.2.0-draft,2026-08-04
0nmcp.com,1,45,Discoverable,,pass,fail,fail,pass,skip,skip,skip,pass,fail,mcp-json,,27,0.2.0-draft,2026-08-04
0xarchive.io,1,85,Connectable,,pass,fail,pass,pass,pass,fail,skip,pass,pass,ai-catalog|mcp-server-card-json,modern,25,0.2.0-draft,2026-08-04
0xdirectping.com,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,26,0.2.0-draft,2026-08-04
0xhumans-mcp-proxy.vercel.app,1,70,Connectable,,fail,fail,pass,fail,pass,fail,skip,fail,fail,,legacy,31,0.2.0-draft,2026-08-04
1001locals.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,16,0.2.0-draft,2026-08-04
100hires.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,18,0.2.0-draft,2026-08-04
101soundboards.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,15,0.2.0-draft,2026-08-04
1145.am,1,40,Discoverable,,pass,fail,fail,fail,skip,skip,skip,fail,pass,mcp-json,,15,0.2.0-draft,2026-08-04
11agents.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,15,0.2.0-draft,2026-08-04
123elec.com,1,70,Connectable,,pass,fail,fail,fail,pass,fail,skip,fail,fail,mcp-json,legacy,35,0.2.0-draft,2026-08-04
1325.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,14,0.2.0-draft,2026-08-04
13flow.eu,1,70,Connectable,,fail,fail,pass,fail,pass,fail,skip,fail,fail,,legacy,20,0.2.0-draft,2026-08-04
1clickreport.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,29,0.2.0-draft,2026-08-04
1inch.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,16,0.2.0-draft,2026-08-04
1social.dev,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,17,0.2.0-draft,2026-08-04
1stdibs.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,35,0.2.0-draft,2026-08-04
2022.cat,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,skip,pass,pass,mcp-server-card-json,,18,0.2.0-draft,2026-08-04
21st.dev,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,20,0.2.0-draft,2026-08-04
2c08-27-4-120-4.ngrok-free.app,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,50,0.2.0-draft,2026-08-04
2oapi.xyz,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,skip,pass,fail,mcp-server-card-json,,27,0.2.0-draft,2026-08-04
2ools.app,1,10,Text-only,,skip,fail,fail,skip,skip,skip,skip,pass,fail,,,5,0.2.0-draft,2026-08-04
3ceng.cn,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,15,0.2.0-draft,2026-08-04
3d-meshweaver-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,27,0.2.0-draft,2026-08-04
3doptix.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,30,0.2.0-draft,2026-08-04
3dpack.ing,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,15,0.2.0-draft,2026-08-04
3dstreet.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,15,0.2.0-draft,2026-08-04
3keys.world,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,15,0.2.0-draft,2026-08-04
3tg.dev,1,45,Discoverable,,fail,pass,fail,fail,skip,skip,skip,pass,fail,,,22,0.2.0-draft,2026-08-04
402.bot,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,18,0.2.0-draft,2026-08-04
402.coffee,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,16,0.2.0-draft,2026-08-04
402oracle.com,1,95,Agent-ready,,fail,fail,pass,fail,pass,pass,pass,pass,fail,,legacy,20,0.2.0-draft,2026-08-04
448c.org,1,70,Connectable,,fail,fail,pass,fail,pass,fail,skip,fail,fail,,legacy,33,0.2.0-draft,2026-08-04
4bots.net,1,35,Discoverable,,pass,fail,fail,fail,fail,skip,skip,fail,fail,mcp-json,,26,0.2.0-draft,2026-08-04
4fetch.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,20,0.2.0-draft,2026-08-04
52choujiang.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,17,0.2.0-draft,2026-08-04
530amodel.com,1,80,Connectable,,pass,fail,fail,fail,pass,pass,fail,pass,fail,mcp-json,legacy,22,0.2.0-draft,2026-08-04
558686.xyz,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,30,0.2.0-draft,2026-08-04
5arz.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,18,0.2.0-draft,2026-08-04
5pu357jdkqc3qynzkjvu3okgqy0ncsiy.lambda-url.us-east-1.on.aws,1,70,Connectable,,fail,fail,pass,fail,pass,pass,fail,fail,fail,,legacy,33,0.2.0-draft,2026-08-04
636865636b73756d.com,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,5,0.2.0-draft,2026-08-04
