apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,D7,C1,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
0.space,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,23,0.4.0,2026-08-07
0523.tw,1,85,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,pass,,modern,18,0.4.0,2026-08-07
0latency.ai,1,45,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,36,0.4.0,2026-08-07
0nmcp.com,1,50,Discoverable,,pass,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,mcp-json,,27,0.4.0,2026-08-07
0xarchive.io,1,85,Connectable,,pass,fail,pass,pass,pass,fail,fail,skip,skip,pass,pass,ai-catalog|mcp-server-card-json,modern,26,0.4.0,2026-08-07
0xdirectping.com,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
0xhumans-mcp-proxy.vercel.app,1,70,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,fail,fail,,legacy,33,0.4.0,2026-08-07
1001locals.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,16,0.4.0,2026-08-07
100hires.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,18,0.4.0,2026-08-07
101soundboards.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,16,0.4.0,2026-08-07
1145.am,1,40,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,mcp-json,,15,0.4.0,2026-08-07
11agents.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
123elec.com,1,70,Connectable,,pass,fail,fail,fail,pass,fail,fail,pass,skip,fail,fail,mcp-json,legacy,36,0.4.0,2026-08-07
1325.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,14,0.4.0,2026-08-07
13flow.eu,1,70,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,fail,fail,,legacy,20,0.4.0,2026-08-07
1clickreport.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,31,0.4.0,2026-08-07
1inch.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,16,0.4.0,2026-08-07
1social.dev,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,17,0.4.0,2026-08-07
1stdibs.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,37,0.4.0,2026-08-07
